,angle,direction,average_height,smoothed_height,double_smoothed_height
0,180,1,9.116666666666667,8.979999999999999,9.030555555555557
1,179,1,8.936666666666666,8.94111111111111,9.058333333333335
2,178,1,8.886666666666668,8.984444444444444,9.03388888888889
3,177,1,9.0,9.081111111111111,9.031666666666666
4,176,1,9.066666666666668,9.175555555555556,8.984444444444444
5,175,1,9.176666666666668,9.083333333333332,8.840555555555556
6,174,1,9.283333333333333,8.982222222222221,8.726111111111111
7,173,1,8.79,8.793333333333331,8.652222222222223
8,172,1,8.873333333333333,8.597777777777777,8.67611111111111
9,171,1,8.716666666666667,8.469999999999999,8.699444444444445
10,170,1,8.203333333333333,8.511111111111111,8.687222222222223
11,169,1,8.49,8.754444444444443,8.701666666666666
12,168,1,8.84,8.92888888888889,8.639444444444445
13,167,1,8.933333333333334,8.863333333333332,8.509444444444446
14,166,1,9.013333333333334,8.648888888888889,8.333888888888888
15,165,1,8.643333333333333,8.35,8.21111111111111
16,164,1,8.29,8.155555555555557,8.161111111111111
17,163,1,8.116666666666667,8.018888888888888,8.159444444444444
18,162,1,8.06,8.072222222222221,8.17611111111111
19,161,1,7.88,8.166666666666666,8.170555555555556
20,160,1,8.276666666666666,8.299999999999999,8.162222222222221
21,159,1,8.343333333333334,8.28,8.033888888888889
22,158,1,8.28,8.174444444444445,7.940555555555555
23,157,1,8.216666666666667,8.024444444444443,7.872222222222223
24,156,1,8.026666666666666,7.7877777777777775,7.887222222222223
25,155,1,7.830000000000001,7.706666666666667,7.881666666666668
26,154,1,7.506666666666667,7.72,7.841666666666666
27,153,1,7.783333333333334,7.986666666666667,7.774444444444444
28,152,1,7.87,8.056666666666667,7.652777777777778
29,151,1,8.306666666666667,7.963333333333334,7.582777777777778
30,150,1,7.993333333333333,7.562222222222221,7.478333333333333
31,149,1,7.59,7.248888888888889,7.376111111111111
32,148,1,7.103333333333333,7.202222222222223,7.347777777777778
33,147,1,7.053333333333334,7.394444444444445,7.396666666666667
34,146,1,7.45,7.503333333333333,7.336111111111111
35,145,1,7.68,7.493333333333333,7.228333333333333
36,144,1,7.38,7.398888888888888,7.076111111111111
37,143,1,7.419999999999999,7.168888888888888,7.0299999999999985
38,142,1,7.396666666666666,6.963333333333334,6.977222222222221
39,141,1,6.69,6.753333333333334,6.872777777777777
40,140,1,6.803333333333334,6.891111111111111,6.885000000000001
41,139,1,6.766666666666667,6.991111111111111,6.788888888888889
42,138,1,7.103333333333333,6.992222222222222,6.701111111111111
43,137,1,7.103333333333333,6.878888888888889,6.584444444444444
44,136,1,6.7700000000000005,6.586666666666667,6.529444444444445
45,135,1,6.763333333333333,6.409999999999999,6.458333333333333
46,134,1,6.226666666666667,6.289999999999999,6.355555555555555
47,133,1,6.239999999999999,6.472222222222221,6.337777777777777
48,132,1,6.403333333333333,6.506666666666667,6.286111111111111
49,131,1,6.773333333333333,6.421111111111112,6.173888888888889
50,130,1,6.343333333333334,6.203333333333333,6.0811111111111105
51,129,1,6.146666666666667,6.065555555555555,6.049444444444444
52,128,1,6.12,5.926666666666667,6.035555555555555
53,127,1,5.93,5.958888888888889,5.991666666666666
54,126,1,5.7299999999999995,6.033333333333332,5.923333333333333
55,125,1,6.216666666666666,6.144444444444445,5.8566666666666665
56,124,1,6.153333333333333,6.024444444444445,5.763888888888888
57,123,1,6.0633333333333335,5.813333333333333,5.681666666666666
58,122,1,5.8566666666666665,5.568888888888889,5.6433333333333335
59,121,1,5.52,5.503333333333333,5.639444444444444
60,120,1,5.329999999999999,5.55,5.566666666666666
61,119,1,5.66,5.717777777777777,5.4994444444444435
62,118,1,5.66,5.775555555555556,5.415555555555556
63,117,1,5.833333333333333,5.583333333333333,5.345555555555555
64,116,1,5.833333333333333,5.281111111111111,5.2877777777777775
65,115,1,5.083333333333333,5.0555555555555545,5.1866666666666665
66,114,1,4.926666666666667,5.107777777777778,5.175
67,113,1,5.156666666666666,5.294444444444444,5.157222222222223
68,112,1,5.24,5.317777777777778,5.072222222222222
69,111,1,5.486666666666667,5.242222222222222,4.988333333333333
70,110,1,5.226666666666667,5.02,4.872222222222223
71,109,1,5.013333333333333,4.826666666666666,4.780555555555556
72,108,1,4.82,4.734444444444445,4.717222222222222
73,107,1,4.6466666666666665,4.724444444444445,4.6194444444444445
74,106,1,4.736666666666667,4.734444444444445,4.5505555555555555
75,105,1,4.79,4.7,4.446111111111112
76,104,1,4.676666666666667,4.514444444444444,4.381666666666667
77,103,1,4.633333333333334,4.366666666666667,4.314444444444445
78,102,1,4.233333333333333,4.192222222222223,4.331666666666667
79,101,1,4.233333333333333,4.248888888888889,4.313888888888889
80,100,1,4.11,4.2622222222222215,4.215
81,99,1,4.403333333333333,4.471111111111111,4.154444444444445
82,98,1,4.273333333333333,4.378888888888889,4.032777777777778
83,97,1,4.736666666666667,4.167777777777778,3.997222222222222
84,96,1,4.126666666666666,3.8377777777777773,3.923888888888888
85,95,1,3.64,3.686666666666667,3.866111111111111
86,94,1,3.7466666666666666,3.8266666666666667,3.8811111111111116
87,93,1,3.6733333333333333,4.01,3.871666666666666
88,92,1,4.06,4.045555555555556,3.787777777777778
89,91,1,4.296666666666667,3.935555555555556,3.6861111111111113
90,90,1,3.78,3.733333333333333,3.556111111111111
91,89,1,3.7300000000000004,3.53,3.526666666666667
92,88,1,3.69,3.436666666666666,3.512777777777778
93,87,1,3.17,3.378888888888889,3.478888888888889
94,86,1,3.4499999999999997,3.5233333333333334,3.4933333333333336
95,85,1,3.516666666666667,3.588888888888889,3.435
96,84,1,3.603333333333333,3.5788888888888892,3.4205555555555556
97,83,1,3.646666666666667,3.4633333333333334,3.3427777777777776
98,82,1,3.486666666666667,3.281111111111111,3.2833333333333337
99,81,1,3.2566666666666664,3.262222222222222,3.2655555555555558
100,80,1,3.1,3.222222222222222,3.2311111111111113
101,79,1,3.4299999999999997,3.285555555555556,3.1350000000000002
102,78,1,3.1366666666666667,3.2688888888888887,3.0300000000000007
103,77,1,3.2900000000000005,3.24,3.058888888888889
104,76,1,3.3800000000000003,2.9844444444444442,3.0333333333333337
105,75,1,3.0500000000000003,2.791111111111111,3.01
106,74,1,2.5233333333333334,2.8777777777777778,3.009444444444444
107,73,1,2.8000000000000003,3.082222222222222,3.0849999999999995
108,72,1,3.31,3.228888888888889,3.1088888888888895
109,71,1,3.1366666666666667,3.1411111111111114,3.082777777777778
110,70,1,3.24,3.0877777777777777,3.0344444444444445
111,69,1,3.046666666666667,2.988888888888889,3.0844444444444448
112,68,1,2.9766666666666666,3.0244444444444447,3.1144444444444446
113,67,1,2.9433333333333334,2.9811111111111104,3.161111111111111
114,66,1,3.153333333333333,3.1799999999999997,3.1816666666666666
115,65,1,2.8466666666666662,3.2044444444444444,3.163888888888889
116,64,1,3.5400000000000005,3.341111111111111,3.171111111111111
117,63,1,3.2266666666666666,3.183333333333333,3.0627777777777774
