,angle,average_height,smoothed_height,double_smoothed_height
0,40,2.738571428571429,2.738571428571429,2.738571428571429
1,41,2.8814285714285717,2.8100000000000005,2.8100000000000005
2,42,2.9057142857142857,2.8419047619047624,2.8419047619047624
3,43,2.9057142857142857,2.8976190476190475,2.857857142857143
4,44,2.8114285714285714,2.874285714285714,2.8485714285714288
5,45,2.8114285714285714,2.842857142857143,2.8423809523809527
6,46,2.8857142857142857,2.836190476190476,2.866904761904762
7,47,2.9528571428571424,2.883333333333333,2.8788095238095237
8,48,2.8542857142857145,2.8976190476190475,2.8702380952380953
9,49,2.794285714285714,2.867142857142857,2.8516666666666666
10,50,2.794285714285714,2.8142857142857145,2.8488095238095235
11,51,2.9285714285714284,2.839047619047619,2.8683333333333327
12,52,2.8685714285714283,2.8638095238095236,2.86547619047619
13,53,3.0028571428571427,2.933333333333333,2.873809523809524
14,54,2.942857142857143,2.938095238095238,2.8885714285714283
15,55,2.822857142857143,2.922857142857143,2.893333333333333
16,56,2.9683333333333333,2.911349206349206,2.92234126984127
17,57,3.046666666666667,2.945952380952381,2.942023809523809
18,58,3.125,3.046666666666667,2.9847619047619047
19,59,3.125,3.098888888888889,3.0051190476190475
20,60,3.51,3.2533333333333334,3.0996428571428574
21,61,4.406666666666666,3.6805555555555554,3.3636111111111107
22,62,3.478333333333333,3.7983333333333333,3.448611111111111
23,63,3.3333333333333335,3.7394444444444446,3.4963888888888888
24,64,3.5083333333333333,3.44,3.5602777777777774
25,65,3.3249999999999997,3.388888888888889,3.5936111111111106
26,66,3.478333333333333,3.4372222222222217,3.5883333333333334
27,67,2.8649999999999998,3.2227777777777775,3.3313888888888887
28,68,3.001666666666667,3.1149999999999998,3.251944444444444
29,69,3.1233333333333335,2.9966666666666666,3.216944444444444
30,70,3.25,3.125,3.173888888888889
31,71,3.361666666666667,3.2449999999999997,3.18
32,72,3.195,3.2688888888888887,3.1327777777777777
33,73,2.9783333333333335,3.1783333333333332,3.151666666666667
34,74,2.795,2.9894444444444446,3.1172222222222223
35,75,3.3016666666666663,3.025,3.1469444444444448
36,76,3.4916666666666667,3.196111111111111,3.1872222222222226
37,77,3.4116666666666666,3.401666666666666,3.1955555555555555
38,78,3.1,3.3344444444444448,3.1797222222222223
39,79,3.3249999999999997,3.2788888888888885,3.2374999999999994
40,80,3.3633333333333333,3.262777777777778,3.332222222222222
41,81,3.4416666666666664,3.3766666666666665,3.3555555555555556
42,82,3.6683333333333334,3.491111111111111,3.385
43,83,3.751666666666667,3.6205555555555553,3.441666666666667
44,84,3.465,3.6283333333333334,3.5025
45,85,3.516666666666667,3.577777777777778,3.5344444444444445
46,86,3.5083333333333333,3.4966666666666666,3.558611111111111
47,87,3.623333333333333,3.5494444444444446,3.588888888888889
48,88,4.001666666666666,3.711111111111111,3.6444444444444444
49,89,3.905,3.8433333333333333,3.67
50,90,3.8350000000000004,3.913888888888889,3.731666666666667
51,91,4.116666666666666,3.952222222222222,3.8316666666666666
52,92,4.096666666666667,4.016111111111111,3.9297222222222223
53,93,4.08,4.097777777777778,4.0058333333333325
54,94,4.075,4.083888888888889,4.018055555555556
55,95,4.128333333333334,4.094444444444445,4.0552777777777775
56,96,4.398333333333333,4.200555555555556,4.149166666666667
57,97,4.55,4.358888888888889,4.221388888888889
58,98,4.316666666666666,4.421666666666667,4.258055555555555
59,99,4.585,4.483888888888889,4.342222222222222
60,100,4.441666666666666,4.447777777777778,4.403333333333333
61,101,4.546666666666667,4.524444444444445,4.473055555555555
62,102,4.535,4.507777777777778,4.495833333333333
63,103,4.655,4.578888888888889,4.513333333333333
64,104,4.943333333333333,4.711111111111111,4.617777777777778
65,105,5.0249999999999995,4.8744444444444435,4.691111111111112
66,106,5.1883333333333335,5.052222222222222,4.815555555555556
67,107,4.8933333333333335,5.035555555555555,4.873333333333334
68,108,5.005,5.028888888888889,4.951666666666667
69,109,5.056666666666667,4.985,5.0186111111111105
70,110,5.178333333333334,5.080000000000001,5.057777777777777
71,111,5.5633333333333335,5.266111111111111,5.1475
72,112,5.548333333333333,5.43,5.2075000000000005
73,113,5.523333333333333,5.544999999999999,5.3125
74,114,5.366666666666667,5.479444444444444,5.372777777777777
75,115,5.371666666666666,5.420555555555556,5.4252777777777785
76,116,5.763333333333333,5.500555555555555,5.522777777777779
77,117,5.833333333333333,5.6561111111111115,5.567777777777778
78,118,5.9750000000000005,5.857222222222222,5.638888888888888
79,119,5.896666666666667,5.901666666666667,5.701111111111111
80,120,5.69,5.853888888888889,5.755
81,121,5.73,5.772222222222223,5.814722222222223
82,122,5.918333333333333,5.779444444444444,5.840555555555556
83,123,6.191666666666666,5.946666666666666,5.900277777777778
84,124,6.52,6.21,5.991111111111111
85,125,6.441666666666666,6.384444444444444,6.081944444444445
86,126,6.168333333333333,6.376666666666666,6.161666666666666
87,127,6.21,6.273333333333333,6.241666666666666
88,128,6.34,6.239444444444445,6.311944444444445
89,129,6.548333333333333,6.366111111111111,6.371388888888888
90,130,6.671666666666667,6.52,6.396666666666667
91,131,7.081666666666667,6.767222222222222,6.503333333333333
92,132,6.771666666666667,6.841666666666668,6.603888888888889
93,133,6.593333333333334,6.815555555555556,6.667777777777778
94,134,6.515000000000001,6.626666666666668,6.696944444444444
95,135,7.1433333333333335,6.750555555555555,6.796111111111112
96,136,7.076666666666667,6.911666666666666,6.863611111111111
97,137,7.266666666666667,7.162222222222222,6.894444444444446
98,138,7.278333333333333,7.207222222222222,6.978888888888889
99,139,7.075,7.206666666666666,7.059166666666667
100,140,7.109999999999999,7.154444444444444,7.158333333333334
101,141,7.228333333333334,7.137777777777778,7.1725
102,142,7.703333333333333,7.347222222222222,7.276944444444445
103,143,7.68,7.537222222222223,7.345833333333332
104,144,7.755,7.712777777777777,7.4252777777777785
105,145,7.868333333333332,7.767777777777777,7.5575
106,146,7.785,7.802777777777777,7.669999999999999
107,147,7.609999999999999,7.754444444444444,7.73361111111111
108,148,7.651666666666666,7.682222222222222,7.7250000000000005
109,149,7.921666666666667,7.727777777777778,7.765277777777778
110,150,8.285,7.952777777777778,7.85361111111111
111,151,8.44,8.215555555555556,7.948888888888888
112,152,7.974999999999999,8.233333333333333,7.980555555555555
113,153,8.091666666666667,8.168888888888889,8.060833333333333
114,154,8.146666666666667,8.07111111111111,8.143333333333333
115,155,8.236666666666666,8.158333333333333,8.195833333333333
116,156,8.465,8.282777777777778,8.225833333333332
117,157,8.588333333333333,8.43,8.250555555555556
118,158,8.513333333333334,8.522222222222222,8.340277777777777
119,159,8.505,8.535555555555556,8.409166666666668
120,160,8.563333333333334,8.527222222222223,8.478611111111112
121,161,8.383333333333333,8.48388888888889,8.503055555555557
122,162,8.721666666666666,8.55611111111111,8.545833333333333
123,163,8.700000000000001,8.601666666666667,8.564444444444446
124,164,8.818333333333333,8.746666666666668,8.615277777777779
125,165,9.023333333333333,8.847222222222223,8.701666666666666
126,166,9.153333333333334,8.998333333333333,8.799999999999999
127,167,9.07,9.082222222222223,8.914444444444444
128,168,8.958333333333334,9.060555555555558,8.953888888888889
129,169,8.723333333333334,8.917222222222223,8.957777777777778
130,170,8.655,8.778888888888888,8.930555555555555
131,171,8.998333333333333,8.792222222222222,8.926388888888889
132,172,9.076666666666666,8.909999999999998,8.913611111111111
133,173,9.043333333333333,9.039444444444444,8.909166666666666
134,174,9.14,9.086666666666666,8.939444444444446
135,175,9.158333333333333,9.113888888888889,9.011944444444444
136,176,9.111666666666666,9.136666666666665,9.088055555555554
137,177,9.078333333333333,9.11611111111111,9.10138888888889
138,178,8.941666666666668,9.043888888888889,9.078888888888889
139,179,9.046666666666667,9.022222222222224,9.079444444444444
140,180,9.048333333333334,9.012222222222222,9.064166666666667
